20000101,-28,100,0,0,125
20000102,11,122,8,0,89
20000103,61,178,8,0,94
20000104,44,172,193,0,148
20000105,-56,94,58,0,112
20000106,-78,22,0,0,76
20000107,-6,72,0,0,125
20000108,-11,33,0,0,94
20000109,11,106,0,0,103
20000110,39,133,188,0,165
20000111,50,128,0,0,174
20000112,0,61,0,0,152
20000113,-106,0,25,142,139
20000114,-139,-89,0,0,143
20000115,-172,-78,0,0,98
20000116,-100,50,0,13,143
20000117,-178,-83,0,0,174
20000118,-161,-56,0,0,103
20000119,-139,-61,0,0,63
20000120,-106,-56,0,81,112
20000121,-156,-72,5,10,165
20000122,-167,-100,0,0,139
20000123,-139,-56,0,0,76
20000124,-67,0,0,0,58
20000125,-44,17,124,89,161
20000126,-61,0,3,0,80
20000127,-139,-56,0,0,112
20000128,-150,-72,0,0,103
20000129,-111,6,0,0,94
20000130,-78,83,0,0,63
20000131,-11,33,53,13,112
20000201,-33,17,0,0,103
20000202,-78,-17,0,0,134
20000203,-94,-11,0,3,89
20000204,-56,-22,3,3,67
20000205,-39,17,3,8,94
20000206,-44,6,0,0,125
20000207,-67,56,0,0,125
20000208,-106,-22,0,0,80
20000209,-61,72,0,0,143
20000210,-6,67,0,0,94
20000211,-22,67,13,0,107
20000212,-61,0,0,0,94
20000213,-72,22,0,0,72
20000214,0,139,249,0,179
20000215,0,67,0,0,130
20000216,-22,94,3,5,134
20000217,-67,28,0,0,116
20000218,-67,6,145,165,134
20000219,-44,6,25,38,89
20000220,-17,28,3,13,103
20000221,-22,44,0,0,80
20000222,-44,67,0,0,67
20000223,0,111,0,0,112
20000224,61,161,13,0,58
20000225,22,83,124,0,98
20000226,22,50,8,0,89
20000227,39,161,0,0,94
20000228,39,128,61,0,103
20000229,17,94,0,0,116
20000230,-9999,-9999,-9999,-9999,-9999
20000231,-9999,-9999,-9999,-9999,-9999
20000301,33,72,0,0,67
20000302,33,94,3,0,112
20000303,11,83,0,0,125
20000304,6,117,0,0,103
20000305,39,106,0,0,116
20000306,17,94,0,0,116
20000307,6,167,0,0,80
20000308,44,89,0,0,89
20000309,50,222,3,0,107
20000310,22,139,0,0,112
20000311,22,44,224,0,125
20000312,11,50,140,0,143
20000313,-6,50,0,0,107
20000314,-22,117,0,0,103
20000315,17,161,0,0,94
20000316,44,217,51,0,130
20000317,-56,44,196,51,152
20000318,-89,0,0,0,89
20000319,-39,28,0,0,80
20000320,0,44,0,0,80
20000321,17,44,0,0,98
20000322,22,67,0,0,80
20000323,0,111,0,0,67
20000324,61,111,0,0,72
20000325,17,178,0,0,107
20000326,78,178,0,0,103
20000327,44,150,0,0,94
20000328,72,139,254,0,161
20000329,67,139,43,0,134
20000330,56,106,0,0,112
20000331,33,122,0,0,76
20000401,39,161,0,0,76
20000402,78,200,0,0,116
20000403,72,133,0,0,63
20000404,61,189,66,0,125
20000405,39,117,0,0,134
20000406,28,144,5,0,98
20000407,72,167,0,0,89
20000408,72,239,36,0,170
20000409,11,161,130,0,183
20000410,28,106,0,0,130
20000411,17,78,18,0,72
20000412,22,94,3,0,112
20000413,11,100,0,0,107
20000414,17,133,0,0,116
20000415,67,211,0,0,107
20000416,83,183,30,0,94
20000417,39,89,0,0,98
20000418,44,72,114,0,112
20000419,50,61,64,0,103
20000420,50,122,3,0,72
20000421,56,83,259,0,116
20000422,56,78,381,0,183
20000423,56,89,61,0,76
20000424,56,111,0,0,107
20000425,33,83,0,0,125
20000426,17,50,104,0,134
20000427,28,100,3,0,58
20000428,50,117,0,0,72
20000429,39,106,0,0,58
20000430,83,156,0,0,116
